TreeID,Species,Site_X,Site_Y,Tree_x,Tree_y,Coordinate System/Datum
N2#3,R. Pine,711117.33,5092485.97,711123.44,5092480.35,
N3#1,S. Maple,711067.23,5092484.25,711062.51,5092485.14,
N3#2,S. Maple,711067.23,5092484.25,711067.52,5092485.21,
N3#3,R. Pine,711067.23,5092484.25,711072.59,5092479.75,
N4#1,R. Pine,710967.02,5092480.83,710968.30,5092479.04,
N4#2,S. Maple,710967.02,5092480.83,710970.63,5092485.75,
N4#3,R. Pine,710967.02,5092480.83,710966.40,5092477.28,
N5#1,R. Pine,710941.97,5092479.97,710942.82,5092479.13,
N5#2,R. Pine,710941.97,5092479.97,710939.77,5092478.78,
N5#3,S. Maple,710941.97,5092479.97,710938.44,5092480.70,
N6#1,S. Maple,710891.86,5092478.26,710889.29,5092484.01,
N6#2,S. Maple,710891.86,5092478.26,710889.00,5092480.76,
N6#3,R. Pine,710891.86,5092478.26,710893.08,5092471.27,
N7#1,S. Maple,710791.65,5092474.84,710792.19,5092475.79,
N7#2,S. Maple,710791.65,5092474.84,710791.57,5092475.43,
N7#3,R. Maple,710791.65,5092474.84,710794.67,5092465.83,
N8#1,R. Maple,710766.60,5092473.98,710768.45,5092470.21,
N8#2,S. Maple,710766.60,5092473.98,710760.03,5092474.68,
N8#3,S. Maple,710766.60,5092473.98,710762.60,5092464.82,
N9#1,R. Maple,710716.49,5092472.27,710721.72,5092473.64,
N9#2,R. Maple,710716.49,5092472.27,710712.78,5092473.10,
N9#3,S. Maple,710716.49,5092472.27,710721.24,5092476.71,
N10#1,S. Maple,710616.28,5092468.85,710617.42,5092463.88,
N10#2,S. Maple,710616.28,5092468.85,710615.29,5092470.59,
N10#3,S. Maple,710616.28,5092468.85,710619.35,5092469.29,
N11#1,R. Maple,710591.23,5092468.00,710588.32,5092464.69,
N11#2,S. Maple,710591.23,5092468.00,710590.63,5092468.67,
N11#3,S. Maple,710591.23,5092468.00,710588.03,5092464.84,
N12#1,S. Maple,710541.12,5092466.29,710541.47,5092466.08,
N12#2,S. Maple,710541.12,5092466.29,710541.29,5092466.53,
N12#3,S. Maple,710541.12,5092466.29,710540.97,5092467.58,
O1#1,B. Aspen,711144.10,5092436.87,711142.26,5092432.65,
O1#2,S. Maple,711144.10,5092436.87,711144.18,5092438.67,
O1#3,S. Maple,711144.10,5092436.87,711141.03,5092437.33,
O2#1,B. Aspen,711119.04,5092436.01,711119.57,5092438.04,
O2#2,S. Maple,711119.04,5092436.01,711122.65,5092436.82,
O2#3,S. Maple,711119.04,5092436.01,711122.75,5092432.22,
O3#1,S. Maple,711068.94,5092434.30,711070.63,5092436.00,
O3#2,S. Maple,711068.94,5092434.30,711073.93,5092436.35,
O3#3,S. Maple,711068.94,5092434.30,711073.53,5092432.92,
O4#1,R. Pine,710968.73,5092430.87,710971.81,5092429.70,
O4#2,R. Pine,710968.73,5092430.87,710970.22,5092428.63,
O4#3,S. Maple,710968.73,5092430.87,710972.03,5092430.84,
O5#1,R. Pine,710943.67,5092430.02,710943.12,5092426.86,
O5#2,R. Pine,710943.67,5092430.02,710942.67,5092431.39,
O5#3,S. Maple,710943.67,5092430.02,710946.87,5092429.99,
O6#1,R. Pine,710893.57,5092428.30,710895.16,5092427.27,
O6#2,R. Pine,710893.57,5092428.30,710889.77,5092429.56,
O6#3,S. Maple,710893.57,5092428.30,710890.77,5092423.68,
O7#1,R. Maple,710793.36,5092424.88,710791.83,5092427.92,
O7#2,S. Maple,710793.36,5092424.88,710792.63,5092422.59,
O7#3,S. Maple,710793.36,5092424.88,710793.29,5092429.98,
O8#1,Y. Birch,710768.30,5092424.03,710761.20,5092423.96,
O8#2,R. Maple,710768.30,5092424.03,710767.65,5092433.90,
O8#3,R. Maple,710768.30,5092424.03,710774.57,5092431.69,
O9#1,S. Maple,710718.20,5092422.31,710718.59,5092418.74,
O9#2,R. Maple,710718.20,5092422.31,710722.11,5092425.10,
O9#3,S. Maple,710718.20,5092422.31,710724.05,5092425.15,
O10#1,R. Maple,710617.99,5092418.89,710614.93,5092425.74,
O10#2,R. Maple,710617.99,5092418.89,710627.91,5092420.13,
O10#3,R. Maple,710617.99,5092418.89,710612.70,5092413.30,
O11#1,R. Maple,710592.93,5092418.04,710593.71,5092418.24,
O11#2,R. Maple,710592.93,5092418.04,710591.02,5092413.97,
O11#3,R. Maple,710592.93,5092418.04,710587.76,5092421.46,
O12#1,R. Maple,710542.83,5092416.33,710543.86,5092412.47,
O12#2,R. Maple,710542.83,5092416.33,710543.11,5092417.50,
O12#3,R. Maple,710542.83,5092416.33,710541.38,5092409.48,
P1#1,Y. Birch,711147.51,5092336.96,711149.91,5092337.00,
P1#2,S. Maple,711147.51,5092336.96,711149.04,5092332.40,
P1#3,R. Maple,711147.51,5092336.96,711151.39,5092334.68,
P2#1,R. Pine,711122.46,5092336.10,711127.21,5092340.24,
P2#2,S. Alder,711122.46,5092336.10,711124.93,5092333.91,
P2#3,S. Maple,711122.46,5092336.10,711126.65,5092335.91,
P3#1,S. Maple,711072.35,5092334.39,711074.29,5092331.59,
P3#2,S. Maple,711072.35,5092334.39,711077.62,5092330.41,
P3#3,R. Pine,711072.35,5092334.39,711074.48,5092335.26,
P4#1,S. Maple,710972.14,5092330.96,710972.54,5092331.77,
P4#2,S. Maple,710972.14,5092330.96,710968.57,5092333.70,
P4#3,S. Maple,710972.14,5092330.96,710972.05,5092326.76,
P5#1,R. Pine,710947.09,5092330.10,710948.02,5092326.84,
